index,cultivable,predicted_class,conf
10021,1,cultivable,0.538
8200,1,cultivable,0.974
24598,1,cultivable,1.000
920,0,non-cultivable,0.954
22273,0,non-cultivable,0.779
23674,0,non-cultivable,0.790
2563,1,cultivable,0.997
7860,1,cultivable,0.527
12821,0,non-cultivable,1.000
12590,0,non-cultivable,1.000
15454,1,cultivable,0.735
20587,0,non-cultivable,0.915
20276,1,cultivable,0.993
17670,0,non-cultivable,0.999
21638,0,non-cultivable,0.963
3885,0,non-cultivable,1.000
1494,1,cultivable,0.980
10861,0,non-cultivable,0.992
11728,0,non-cultivable,1.000
25538,0,non-cultivable,1.000
4736,0,non-cultivable,0.943
3321,1,cultivable,0.997
23186,0,non-cultivable,1.000
17023,1,cultivable,0.867
8100,0,non-cultivable,0.999
16646,0,non-cultivable,0.527
10280,0,non-cultivable,0.996
2063,0,non-cultivable,0.898
11275,1,cultivable,0.788
7546,0,non-cultivable,0.953
22181,0,non-cultivable,0.798
10739,1,cultivable,0.973
5804,0,non-cultivable,0.992
24099,0,non-cultivable,0.693
8095,0,non-cultivable,0.940
5809,0,non-cultivable,0.869
20839,0,non-cultivable,0.985
11556,1,cultivable,0.806
7451,0,non-cultivable,0.982
7691,0,non-cultivable,0.967
24328,0,non-cultivable,0.977
3822,0,non-cultivable,0.996
7091,1,cultivable,0.999
6925,1,cultivable,0.703
17546,1,cultivable,0.730
22034,1,cultivable,0.997
20908,0,non-cultivable,0.803
19705,0,non-cultivable,0.648
19054,0,non-cultivable,1.000
24611,1,cultivable,0.671
12463,1,cultivable,0.704
20660,1,cultivable,0.972
9784,1,cultivable,0.932
7311,1,cultivable,0.992
6624,0,non-cultivable,0.987
16962,0,non-cultivable,0.997
5981,1,cultivable,0.968
5955,0,non-cultivable,0.953
23326,0,non-cultivable,0.879
26194,0,non-cultivable,0.687
16103,0,non-cultivable,0.999
10614,0,non-cultivable,0.996
18469,0,non-cultivable,0.755
16488,1,cultivable,0.512
11001,0,non-cultivable,0.845
7482,0,non-cultivable,0.709
20016,1,cultivable,0.552
15935,0,non-cultivable,1.000
25083,1,cultivable,0.995
14285,1,cultivable,0.762
4802,0,non-cultivable,1.000
21588,1,cultivable,0.928
3946,1,cultivable,0.974
15654,0,non-cultivable,1.000
9557,1,cultivable,0.997
9621,0,non-cultivable,1.000
18586,1,cultivable,0.981
18931,1,cultivable,0.601
5271,1,cultivable,0.943
25268,1,cultivable,1.000
8694,0,non-cultivable,1.000
13425,1,cultivable,0.993
23824,0,non-cultivable,0.788
25979,1,cultivable,1.000
2682,1,cultivable,0.843
8559,1,cultivable,0.831
3425,1,cultivable,0.634
15426,1,cultivable,0.847
9453,0,non-cultivable,1.000
8510,0,non-cultivable,1.000
11123,0,non-cultivable,1.000
26085,1,cultivable,0.999
19310,1,cultivable,0.884
5017,1,cultivable,0.911
20096,0,non-cultivable,0.851
23847,0,non-cultivable,0.944
20393,0,non-cultivable,0.899
11530,1,cultivable,0.880
5472,0,non-cultivable,1.000
20713,0,non-cultivable,1.000
11860,0,non-cultivable,0.750
12630,0,non-cultivable,0.987
24397,0,non-cultivable,1.000
6734,0,non-cultivable,1.000
18556,1,cultivable,0.825
20127,1,cultivable,0.569
15231,0,non-cultivable,0.975
14766,0,non-cultivable,1.000
25287,0,non-cultivable,0.506
15181,0,non-cultivable,0.937
1910,1,cultivable,0.898
8803,1,cultivable,0.606
16797,1,cultivable,0.628
21903,0,non-cultivable,0.572
5320,0,non-cultivable,1.000
13086,0,non-cultivable,1.000
14491,0,non-cultivable,1.000
20371,0,non-cultivable,0.608
7955,1,cultivable,0.924
24514,0,non-cultivable,0.873
20603,1,cultivable,0.559
5040,1,cultivable,0.930
21650,0,non-cultivable,0.532
16782,0,non-cultivable,1.000
12692,1,cultivable,0.957
2149,1,cultivable,0.795
18292,1,cultivable,0.811
6318,0,non-cultivable,0.999
10666,1,cultivable,0.653
13292,0,non-cultivable,1.000
25366,1,cultivable,1.000
15955,1,cultivable,0.678
22820,1,cultivable,0.815
17407,1,cultivable,0.957
1546,0,non-cultivable,1.000
2177,0,non-cultivable,0.938
22955,1,cultivable,0.945
20867,0,non-cultivable,1.000
26784,1,cultivable,1.000
6138,0,non-cultivable,0.720
494,0,non-cultivable,0.987
24366,0,non-cultivable,0.518
11876,0,non-cultivable,0.984
12415,1,cultivable,0.883
345,1,cultivable,0.993
4177,0,non-cultivable,1.000
4231,1,cultivable,0.812
8042,0,non-cultivable,0.894
16671,0,non-cultivable,0.809
18950,0,non-cultivable,1.000
20719,0,non-cultivable,0.998
3841,0,non-cultivable,1.000
12223,0,non-cultivable,0.951
8107,0,non-cultivable,0.898
8987,0,non-cultivable,1.000
1331,1,cultivable,0.973
21727,1,cultivable,0.773
21404,0,non-cultivable,0.770
7425,0,non-cultivable,1.000
13293,0,non-cultivable,0.993
5948,0,non-cultivable,0.532
19798,0,non-cultivable,1.000
